id,nome,data_nascimento,cpf,cep,cidade,sigla_uf,pais,sexo,telefone,email,data_cadastro
83c4986e-e9b2-4dd5-9478-2fff88a3bd79,Rafaela Rodrigues,2007-03-14,701.362.818-64,85857351,da Costa,AP,Brasil,M,(051) 4804-0425,70136281864@example.com.br,2026-02-16
31ece8a2-3a90-4e33-b1ee-711cf18d9089,Luigi Correia,1951-09-26,415.362.391-11,87329-642,da Conceição do Galho,RN,Brasil,M,(084) 2854-4989,41536239111@example.com.br,2025-07-08
7880b352-f6a7-4989-8edc-e4cefbe3378f,Emilly Pinto,1962-08-29,651.588.483-18,45267-664,Vasconcelos,RO,Brasil,M,+55 84 6561 8837,65158848318@example.com.br,2026-03-06
bc7beea0-286c-484c-b73d-7ed45db67670,Benjamin Pimenta,1957-08-14,506.935.335-22,39953-957,Silva,PA,Brasil,M,+55 61 4718-0125,50693533522@example.com.br,2026-01-13
b32b28c6-40ad-4a4a-90a8-62cdefd3afe2,Sr. Davi Luiz Pacheco,1999-10-25,833.604.435-05,46102-990,Ramos,MT,Brasil,F,+55 (031) 4320-9273,83360443505@example.com.br,2026-05-07
8b44ee47-29c6-4a25-98cd-f00a501a18e8,Milena da Costa,1935-06-20,334.037.425-87,30097-642,Santos,DF,Brasil,F,+55 (061) 8650-6087,33403742587@example.com.br,2024-06-24
e90b1375-d171-42e3-834b-b93cd37ec17b,Luiz Henrique Moura,1938-07-12,341.212.059-33,25427826,Gomes de Cirino,ES,Brasil,M,21 6175 0771,34121205933@example.com.br,2025-09-15
06986754-a190-4368-9771-96da5433807e,Luan Oliveira,2003-03-04,059.866.751-81,12193414,Vasconcelos,AP,Brasil,F,+55 (011) 7554 5374,05986675181@example.com.br,2024-11-25
0651eb25-251c-4b74-90e6-3358d58eb576,Sr. Enzo Gabriel Porto,1990-02-13,404.734.162-43,83197-598,Castro de Goiás,DF,Brasil,M,84 0811-9312,40473416243@example.com.br,2025-02-03
a315aadc-1ae2-44c4-9b8b-ed092b8b425d,Maya da Mata,1984-10-19,723.289.653-81,00914944,Peixoto do Sul,PI,Brasil,F,31 8009-5513,72328965381@example.com.br,2025-03-06
fd4b1eb3-dc35-4dd8-8768-607f1f138947,Apollo Brito,1933-12-08,510.028.816-79,62943-394,Silva,SE,Brasil,M,0500 209 3396,51002881679@example.com.br,2026-01-03
394737cd-bc47-491b-be4c-531d1f7556d7,Pedro Henrique Azevedo,1981-01-05,505.968.988-83,28241825,Jesus de Casa Grande,PE,Brasil,M,0500-115-1568,50596898883@example.com.br,2025-11-04
af33cbae-e4fc-4342-aa3c-ef4d09294445,Evelyn Monteiro,1970-06-23,980.216.310-45,99410377,Pastor,PI,Brasil,F,+55 51 3635 8678,98021631045@example.com.br,2024-06-21
46bc916f-f6d9-441e-9254-154747a477d8,Lara da Rosa,1984-05-29,016.229.270-84,83915-709,Caldeira,SP,Brasil,F,84 9297-5375,01622927084@example.com.br,2025-07-21
b349252b-6d91-47bb-a197-df640a00b45e,Davi Santos,1948-03-09,498.261.664-06,35897420,Gomes dos Dourados,BA,Brasil,M,+55 (051) 2283-6923,49826166406@example.com.br,2024-09-13
7392ef3c-8d77-428e-b35f-531bd7b25542,Maria Luísa Rios,1938-09-27,612.318.321-42,72082-475,Castro do Amparo,MG,Brasil,F,+55 81 2554-4016,61231832142@example.com.br,2024-09-11
d964b5ae-3350-4f0a-9c33-53c8c089811d,Breno Nascimento,1946-03-11,705.512.467-97,49038-234,Fonseca,AL,Brasil,F,41 2470-3670,70551246797@example.com.br,2024-09-03
8526d2cc-380f-49bf-a22a-8f080246d4b6,Josué Fernandes,1939-09-23,813.102.801-63,44755838,Moura de Mendes,PE,Brasil,M,(031) 3182-1945,81310280163@example.com.br,2024-06-08
9077837c-12b8-4111-a1a0-15991f0322a6,Augusto Camargo,1931-03-17,406.674.661-78,90992388,da Cunha de Siqueira,TO,Brasil,F,+55 71 8269-8185,40667466178@example.com.br,2024-09-04
c4b926c6-ac9c-4fa0-81d2-c59f17aa9499,Jade Rios,1965-01-06,295.866.855-47,06948-557,da Cunha de Minas,PB,Brasil,M,+55 41 2916-3754,29586685547@example.com.br,2024-10-11
dad913e3-9201-48b9-9a7f-e9ae0c143c76,Isabel Lopes,1987-05-23,194.268.656-91,44358479,Albuquerque das Pedras,DF,Brasil,F,+55 11 4989-8037,19426865691@example.com.br,2026-01-24
a0db87e0-4f69-4a12-80a9-cd385b8843b3,Gabriel Siqueira,1960-10-16,778.131.177-70,42369972,Freitas,SP,Brasil,F,(061) 3487-8236,77813117770@example.com.br,2026-05-21
e6f86c76-3c14-4d53-bc09-e8eba6e76042,Yasmin Dias,1930-09-07,372.706.923-96,79473-266,Montenegro,PB,Brasil,M,+55 71 7935 6106,37270692396@example.com.br,2026-03-16
af9359aa-ab18-4487-8559-c81e22db5e60,Vinícius Pacheco,2000-08-23,573.511.259-81,90198-163,Leão do Norte,MG,Brasil,M,61 6885-5869,57351125981@example.com.br,2025-12-22
6e9b6f1a-60ed-49f0-8abd-86cf1a047885,Sra. Maria Julia Santos,1942-08-14,563.203.406-45,48272-384,Pimenta do Campo,PR,Brasil,M,+55 (051) 7910 5813,56320340645@example.com.br,2026-01-16
df1ad64c-2a79-45a1-88f0-88cf4f1d4acf,Dra. Ana Sophia Macedo,1983-04-06,229.999.581-74,97116-520,Nunes,SE,Brasil,F,+55 (041) 9595-1634,22999958174@example.com.br,2024-09-26
ecb6067e-02f3-467a-99d5-4bd33f0664db,João Lucas Costa,1940-03-04,742.667.214-22,06635-873,Sales do Oeste,AP,Brasil,M,0800 853 8407,74266721422@example.com.br,2024-08-21
e1bf95b3-d950-4dda-90a1-6e9669ee375c,Raul Lima,1943-02-10,257.984.203-07,70332766,Alves da Prata,RJ,Brasil,F,0300 078 0194,25798420307@example.com.br,2024-09-14
d4057af2-d119-4345-8052-59538d7cabd2,Levi Ferreira,1990-03-09,774.174.263-45,87614020,Pastor do Galho,AM,Brasil,M,(061) 9227-2477,77417426345@example.com.br,2024-06-01
f81df3bd-d077-4df8-bceb-7fa645fd6296,Dra. Letícia Vasconcelos,1985-12-02,293.876.694-68,49444830,Barbosa de das Neves,SE,Brasil,M,+55 (071) 3152-7360,29387669468@example.com.br,2025-08-03
5b13c51e-b641-4935-8ab0-a227438ec2d6,Theo Melo,1945-02-08,122.193.244-50,30227233,Teixeira,MS,Brasil,F,(031) 2638-1317,12219324450@example.com.br,2025-11-20
c43987bb-2808-4068-a6dd-0e66eb954e34,Sra. Pietra Nascimento,1946-09-01,527.611.009-86,45596597,Abreu Paulista,RS,Brasil,M,0800-094-0260,52761100986@example.com.br,2025-12-08
9f9aff3a-ec51-4702-9f3b-47dada25d4fe,Dr. Vitor Duarte,1933-10-28,753.826.283-04,05354159,Macedo do Amparo,MS,Brasil,M,11 8956 9222,75382628304@example.com.br,2025-03-12
0d4626d4-2174-4ef0-bb6d-539e2271836c,Srta. Caroline Campos,1970-08-09,337.237.609-55,46734428,da Luz de Macedo,ES,Brasil,F,+55 (084) 2702-2660,33723760955@example.com.br,2025-09-09
6cf927d4-9169-4f75-aac4-f7635b477a92,Ísis Montenegro,1929-12-26,464.816.956-52,16390-001,Cassiano de Minas,RR,Brasil,F,0900 653 1757,46481695652@example.com.br,2024-05-25
2f8f00bb-35bd-4b84-812d-631c77b89cd7,Aylla Correia,2004-09-05,192.028.595-78,02776315,Barros da Praia,RO,Brasil,F,(061) 4155 3214,19202859578@example.com.br,2024-06-15
c60ca7a0-0b8e-4ba1-90c3-ebc858401615,Zoe Duarte,1933-02-22,718.681.179-77,01634341,Moura de Cavalcante,AP,Brasil,M,51 7511 3976,71868117977@example.com.br,2024-10-20
f45d0383-92aa-405b-a140-f8ebe4361326,Manuella Aragão,1982-06-20,161.460.873-89,70121-301,Mendes do Amparo,PE,Brasil,M,+55 (021) 6896 7425,16146087389@example.com.br,2024-12-18
5b297b6d-374e-416f-b268-0836798a7a80,Maria Liz da Mata,1926-02-09,008.150.373-76,20113183,Andrade,MA,Brasil,M,(061) 8564-6488,00815037376@example.com.br,2025-02-08
930fdeb5-517d-421a-8cfa-b55fcdddc7f9,Fernando Pereira,1986-11-16,785.775.507-50,16107-255,Viana,MT,Brasil,M,(031) 8497 7673,78577550750@example.com.br,2025-02-03
6fea3783-f921-4d63-94cf-e768d00b5574,Davi Miguel Monteiro,1982-03-28,384.624.425-60,97018-031,Lima das Flores,PE,Brasil,F,0900 661 0487,38462442560@example.com.br,2025-02-04
7d9de870-ee5e-4d85-a0aa-96750cc9477b,Pedro Henrique da Mota,1983-01-25,541.936.168-40,76314180,da Mota,PE,Brasil,M,+55 (041) 8856 2077,54193616840@example.com.br,2026-03-27
a3da8585-01df-4cc8-b94a-95ce418e47d5,Ester Sá,1941-11-14,609.281.081-01,35114-607,Albuquerque,PI,Brasil,F,+55 71 5531-0953,60928108101@example.com.br,2025-09-16
f29f5d38-0b3f-41d7-ab92-6b291488b20b,Sra. Ana Laura Caldeira,1961-06-14,757.903.338-35,09610606,Carvalho,SC,Brasil,F,(021) 3048 9685,75790333835@example.com.br,2025-12-14
1644a9dd-6dc9-4816-9b30-1ec01ad82162,Lucca Melo,1968-03-16,499.103.048-60,83144374,da Cunha de Gonçalves,AP,Brasil,F,+55 11 6382 9670,49910304860@example.com.br,2024-11-21
7c0a3363-e2d2-4060-b843-9cb30698502c,Thales Sales,1959-07-24,175.784.190-92,41617436,Barbosa,PE,Brasil,F,0900 496 0490,17578419092@example.com.br,2025-07-21
51f5814f-1fd2-4c45-acd7-cadb95153e58,Vitor Hugo Abreu,1999-11-17,240.477.621-74,68701686,Rios,CE,Brasil,M,(011) 5309 0269,24047762174@example.com.br,2024-09-28
25503f14-335b-4271-b274-bc1205a3dd05,Caroline Rezende,1979-11-26,611.498.056-65,26223716,Brito,CE,Brasil,M,0500-433-9335,61149805665@example.com.br,2024-06-01
3e7523c8-1e83-486a-aa60-4a9983cbd1c0,Vitor Moreira,1958-12-21,441.095.196-92,79625281,Oliveira das Flores,PI,Brasil,M,(051) 6953 0882,44109519692@example.com.br,2024-08-03
4d0ba5cd-64cf-4370-8197-8f016109f0e8,Sr. André da Cruz,1936-03-02,990.723.039-54,95768939,Camargo,AL,Brasil,M,+55 (041) 8810-4452,99072303954@example.com.br,2026-01-17
82940867-0928-47bb-b407-dab333c09339,Jade Pinto,1927-03-14,913.093.499-72,78013-012,Ferreira,RR,Brasil,F,+55 (031) 0066-7026,91309349972@example.com.br,2024-07-06
c35c5a56-ba40-4140-ae99-f7ce99969c16,Bianca Peixoto,1973-08-26,043.899.500-96,76355393,Campos dos Dourados,DF,Brasil,M,(081) 0902 9577,04389950096@example.com.br,2026-02-09
dcd3af67-f57d-4c9a-8601-9f082fcab41e,Beatriz Peixoto,1935-10-15,145.325.337-36,22406-581,Campos do Oeste,RJ,Brasil,M,+55 41 3796-8219,14532533736@example.com.br,2026-05-13
d9812ee4-9bb0-47b2-ac80-b50d801320dd,Srta. Carolina Fogaça,1948-07-07,806.468.895-04,45211364,Abreu do Amparo,RR,Brasil,M,+55 (071) 9181 7678,80646889504@example.com.br,2025-04-15
1ff873e6-85bd-4815-9d12-afc2afb0ba79,Dr. Francisco Cavalcanti,1952-11-22,643.637.341-42,75889073,Ferreira,PE,Brasil,F,+55 31 9338 0598,64363734142@example.com.br,2026-01-28
7825143e-3c1f-4cf7-bf2d-c94fc97bfdd3,Maria Fernanda Caldeira,1997-11-09,291.412.688-46,45064679,Vieira da Serra,RJ,Brasil,F,+55 81 2390-1924,29141268846@example.com.br,2026-03-28
5f06a3a2-67c0-4d2d-956e-5d15d10d9ff3,João Gabriel Abreu,1987-07-31,070.130.889-84,25044019,Azevedo,MS,Brasil,M,(011) 6660-5199,07013088984@example.com.br,2024-07-22
e86f2559-5fb7-4b7d-ba8e-98b32d371230,Sr. Yago Aparecida,1982-08-27,093.620.759-34,00961810,Rios Alegre,PI,Brasil,F,+55 (031) 8339 5936,09362075934@example.com.br,2024-06-16
1c25878f-182a-4207-a951-1205dd037283,Breno Aragão,1962-08-06,881.377.969-48,64505-268,Sousa,PA,Brasil,F,+55 84 1143 8829,88137796948@example.com.br,2025-09-23
5335b45a-ee75-48af-8f07-92cee5f4b19a,Sra. Marcela Jesus,1945-03-21,164.938.968-90,99948-290,Peixoto,ES,Brasil,F,11 9740-3022,16493896890@example.com.br,2025-07-28
c0439575-3288-439d-bfa4-c5c8c3ae5a6a,Stella Pires,1955-09-18,536.910.459-82,85328-638,da Rosa,RJ,Brasil,M,+55 (081) 0208-8350,53691045982@example.com.br,2025-03-14
c1ade3f9-bebd-4536-9a05-b4d6591ca679,Anna Liz Costela,1942-09-01,835.530.538-22,34145-540,Fogaça da Praia,AM,Brasil,M,+55 (031) 9490 0695,83553053822@example.com.br,2026-03-15
346a2902-0ef1-476a-b166-5cf470753270,Ana Clara Pimenta,1976-11-25,147.973.193-72,19172-747,Ribeiro de Mendonça,PA,Brasil,F,51 3204 2594,14797319372@example.com.br,2026-02-02
202ce419-2ac6-41a7-a29f-a924b7993bf2,Breno Mendes,1954-01-30,580.880.475-27,80359515,Lopes das Pedras,CE,Brasil,M,(051) 4936 5899,58088047527@example.com.br,2025-12-11
33e61161-fc14-4ae6-a925-cffb864b3f39,Eloah da Conceição,1934-05-22,573.466.635-10,12522273,da Mota de Minas,RS,Brasil,F,41 8070 7545,57346663510@example.com.br,2025-02-15
be44a78d-fbc5-4754-99ce-a3601eff0cfd,Dr. Marcelo Martins,1986-01-15,761.703.731-21,39853177,Azevedo do Oeste,MT,Brasil,M,0300-490-3830,76170373121@example.com.br,2025-01-16
15a67853-4b3d-4e56-bc9c-8aac70bed642,João Felipe da Costa,1932-06-24,114.104.395-65,27460547,Teixeira,BA,Brasil,M,31 0275 9239,11410439565@example.com.br,2026-04-14
640511f4-c8bb-466d-a34d-144266526161,Vinícius Vasconcelos,1966-08-04,334.376.629-25,97357661,Lima,MT,Brasil,M,+55 81 2559 3658,33437662925@example.com.br,2024-08-25
9a2b8f27-998d-4092-8c8c-25d6bf605c4d,Beatriz Sá,1966-05-24,565.380.049-16,56147159,Dias,RR,Brasil,M,81 2671 9150,56538004916@example.com.br,2026-01-21
218646d5-e1ab-44a8-8316-e687475b0291,Maria Fernanda Peixoto,2006-05-27,570.004.637-17,45012461,Rios,PE,Brasil,F,+55 (041) 2166-2246,57000463717@example.com.br,2024-08-21
69f7f9c0-a119-4e2c-b344-93dffd396c2d,Kaique Albuquerque,1991-09-14,772.464.553-02,17038370,Rodrigues,RN,Brasil,M,+55 (081) 1936-9032,77246455302@example.com.br,2025-12-20
a9d3e257-33d2-4af4-96ad-904ed5e6e931,Dr. Henrique da Rocha,1941-03-09,920.867.342-62,67528-220,Rezende,AP,Brasil,M,31 7217 5466,92086734262@example.com.br,2025-05-20
728d9f0e-ada4-40a8-a680-bbd29a58d77b,Davi Rodrigues,1973-04-05,492.842.591-03,90611123,Gonçalves Verde,RJ,Brasil,M,(061) 3230-3212,49284259103@example.com.br,2024-09-29
4e20cda1-7436-4964-a195-054a739e3d30,Ayla Freitas,1986-08-03,494.767.766-91,06675-524,Oliveira de Goiás,MG,Brasil,M,(011) 3725-6491,49476776691@example.com.br,2025-07-23
da03d7d3-7534-403c-8db7-fa2b2c4731bd,Sabrina da Cunha,1987-11-06,298.053.638-52,54533-055,Ferreira,ES,Brasil,M,+55 (084) 7340 8635,29805363852@example.com.br,2025-06-06
f05f3701-81b5-4890-8bf2-672a4483d457,Cecilia Lima,1960-09-01,568.046.379-70,50341-621,Viana Verde,MS,Brasil,F,0300-774-9737,56804637970@example.com.br,2025-07-26
bde60546-7496-4fdd-a3e6-71e7971d0696,Olivia Vargas,1987-04-02,003.433.491-67,31674-414,Rezende,RO,Brasil,F,41 0773-6694,00343349167@example.com.br,2025-02-28
93d872c7-90c3-4933-aa0e-7ae679a13602,Júlia Siqueira,1961-11-18,260.018.693-06,44851114,Fonseca de Minas,PB,Brasil,M,11 4794 5309,26001869306@example.com.br,2025-02-02
5ba541e5-2dfd-4258-8d3d-89a741415309,Isaac da Cunha,1971-04-23,592.438.636-85,13614971,Silva,RN,Brasil,M,+55 (071) 9475-6937,59243863685@example.com.br,2025-07-21
c2cff708-0684-446a-a415-dfbee96db41c,Manuella Campos,1935-08-03,639.294.809-12,99512-155,da Paz das Flores,SP,Brasil,F,+55 61 1433 5107,63929480912@example.com.br,2025-09-01
6eae6657-9d09-40d6-ab03-2b04e9446fae,Maria Eduarda Sousa,1990-11-05,724.634.140-06,44527354,Fonseca de Minas,PA,Brasil,M,+55 (011) 3136-5173,72463414006@example.com.br,2025-03-22
2af40e2c-c821-4314-ba5c-04dd38222499,Yuri Moraes,1929-04-22,987.638.559-72,72372-043,Castro de Minas,MT,Brasil,M,(021) 4330 5981,98763855972@example.com.br,2025-04-16
84b92a86-a650-47b6-8a97-67631de491da,Sra. Alícia das Neves,1931-11-10,005.751.643-40,63200434,Teixeira,CE,Brasil,M,0300 266 7851,00575164340@example.com.br,2024-07-18
6bf67f45-10cd-465e-b11f-5d5d2f10385e,Eloá Correia,1959-09-21,938.638.215-79,70725-971,Abreu,DF,Brasil,M,+55 (051) 6978 0475,93863821579@example.com.br,2026-03-30
fabdaf47-6ff6-4af5-b2e4-b7a0c55a9065,Mariah Lopes,1928-01-04,227.633.172-70,86923-419,Macedo,RR,Brasil,F,+55 (021) 6550 2822,22763317270@example.com.br,2025-05-27
952969b5-75c3-4744-a3bb-ff356625eca3,Augusto Ramos,1935-01-04,530.543.223-06,72066158,Mendes,AM,Brasil,F,41 6204 0581,53054322306@example.com.br,2024-06-10
8dcf9fb7-47ad-45a1-9901-aaa8d50fafd9,Bryan Gonçalves,1957-05-11,541.074.358-69,81104-306,Rodrigues de Sales,RJ,Brasil,M,81 0379-5692,54107435869@example.com.br,2024-08-16
01e4649d-b4b6-47dd-93c6-8589d00ebabe,Alícia da Rocha,1927-08-06,919.767.413-12,06888-903,da Mata,PE,Brasil,M,(061) 8780-9479,91976741312@example.com.br,2025-03-25
c435a82e-345f-4f1b-b401-8dc0a65480b5,Sophia Araújo,1989-01-16,619.272.556-72,34653-210,Farias de da Mota,MA,Brasil,F,+55 (071) 5012-2668,61927255672@example.com.br,2025-06-08
537c2a80-d4bb-4d02-9f5c-7a63d9c6116e,Rafael Cavalcanti,1935-01-06,835.762.504-94,28417030,da Mata da Serra,GO,Brasil,M,+55 41 7231-7496,83576250494@example.com.br,2026-01-07
7229881b-43a8-4406-a0e1-52148000aca0,Alexandre Campos,1970-01-20,409.527.810-66,63697166,Santos,RS,Brasil,M,+55 (084) 9527-3845,40952781066@example.com.br,2025-11-27
f7e4c9a5-0336-4f88-ba53-d2999f00320c,Dra. Hadassa Vieira,1978-03-09,478.847.979-53,04303384,Cardoso do Sul,RJ,Brasil,M,0300 657 6074,47884797953@example.com.br,2025-04-25
4ee072e3-b993-45cc-95c0-3cee7c197460,Mateus Cavalcante,1992-08-24,345.628.745-81,28474-737,Câmara de Nascimento,AM,Brasil,F,81 8785 6231,34562874581@example.com.br,2024-12-24
7889e593-8b72-419e-87fb-29408d5041cd,Léo Sales,1990-12-17,647.656.440-19,60647-553,Moreira,AP,Brasil,F,(021) 4068-0108,64765644019@example.com.br,2026-04-02
2349eacf-20cc-4ade-b97c-2805c2a091fd,Davi Lucca Moraes,1937-04-11,729.302.622-64,51846-552,Oliveira do Sul,GO,Brasil,M,0500 040 5707,72930262264@example.com.br,2024-08-03
ec6503b8-08f7-42e4-9444-59cb549aff06,Yan Garcia,1995-04-22,603.326.778-64,47506-941,Gonçalves,SP,Brasil,M,+55 81 8617-8516,60332677864@example.com.br,2026-05-12
5d9c2cc1-4349-4106-ab10-4efac3e1d36c,Natália das Neves,1935-08-20,136.063.402-27,63870597,Araújo,CE,Brasil,F,81 5338 0476,13606340227@example.com.br,2025-12-27
0bbe64b3-5986-4d6d-9161-e08d966198d0,Vitória Siqueira,1926-05-10,353.328.855-20,29446475,Souza do Amparo,RS,Brasil,M,+55 51 9829 5403,35332885520@example.com.br,2025-12-26
bebefc04-8de2-4c08-81bd-1b0e08a40ad6,Manuela Sousa,1960-11-08,004.487.921-91,88307820,Teixeira,MG,Brasil,M,+55 81 8165-5616,00448792191@example.com.br,2024-12-23
38c98011-d9f6-42b3-9273-c92b9c561381,Yasmin Santos,2004-02-10,758.824.155-04,62719-651,Ramos,PR,Brasil,F,0300-081-6621,75882415504@example.com.br,2025-10-24
5f040f49-eaee-4aca-a21b-244590e5b004,Cecília Nascimento,1996-07-28,861.849.105-93,71346-847,Cirino de Mendonça,RS,Brasil,F,(061) 8258-4004,86184910593@example.com.br,2024-08-24
8a43e8de-be0d-466f-9e20-c4d8516d5184,Lucas Gabriel da Mata,1986-06-19,496.073.202-90,64677-101,da Cunha das Flores,PA,Brasil,M,11 0624 7861,49607320290@example.com.br,2026-02-17
60c63316-f91b-48a0-be19-fff35bf7e4fc,Sr. Henry Gabriel Nascimento,1950-09-16,696.176.781-78,68190314,Ramos de Ramos,PI,Brasil,M,(081) 4549 9689,69617678178@example.com.br,2025-09-26
1047abdd-8898-41bc-85a2-ca0b1b132873,Dr. Arthur Machado,2004-01-12,640.190.895-35,23727290,Monteiro,PR,Brasil,M,+55 (051) 5000-4527,64019089535@example.com.br,2026-01-19
df808667-b061-41f6-a150-ffb7072ebea5,Eloá Gomes,1982-06-25,275.340.281-75,30680910,Dias do Sul,RO,Brasil,F,(081) 9692-6029,27534028175@example.com.br,2025-02-27
83e81e75-22b5-444e-be4e-fc9cb43f6884,Natália Duarte,1936-09-28,543.948.610-58,16170-681,Souza de Costela,SP,Brasil,F,+55 (031) 5152-3615,54394861058@example.com.br,2025-04-19
b800be6b-5290-4267-97de-362275ccf67f,Lavínia Peixoto,2001-10-08,789.684.401-72,23045330,Costela,RR,Brasil,M,0300 019 1653,78968440172@example.com.br,2025-12-25
bb0a8e73-4443-4cba-910b-630d0eb41dd8,Dra. Maria Liz Barbosa,1957-08-03,001.062.141-46,08364-853,Peixoto das Pedras,PR,Brasil,M,61 4692-7039,00106214146@example.com.br,2026-01-05
f10dbf1e-b5c6-4c2a-b091-3c6e328e3794,Hellena Lopes,1928-04-08,297.030.306-07,91381-023,Andrade,ES,Brasil,M,84 0216-8288,29703030607@example.com.br,2025-12-07
ef2238ba-7b10-43a3-a090-c572ca48be53,Marcela Fonseca,1968-11-07,276.441.574-89,28151-931,Marques,PI,Brasil,M,+55 21 6627-0996,27644157489@example.com.br,2026-02-04
8dfc1ac9-4177-482c-a06b-3da531d2ab60,Maria Cecília Oliveira,2002-04-30,748.616.466-97,07217-586,Moraes do Campo,SC,Brasil,F,(081) 9222 0982,74861646697@example.com.br,2024-06-22
0d67260f-d743-474d-9764-6903cdf60f95,Yago Nogueira,1992-01-19,620.605.248-65,96332313,Cardoso do Campo,MA,Brasil,M,+55 (031) 4118-6217,62060524865@example.com.br,2025-08-22
15f07394-4bbb-454b-8ed5-676b9826a032,João Lucas da Cruz,1987-11-20,417.395.673-33,01665922,Souza de Pacheco,RS,Brasil,M,31 0231-6574,41739567333@example.com.br,2026-02-20
d89b7ca4-1aad-465d-a4ca-9c7d74655f36,Maria Júlia Siqueira,1937-12-30,807.000.143-04,44191903,da Rocha,DF,Brasil,F,+55 71 4217 9946,80700014304@example.com.br,2026-02-23
4002bb54-624c-4c3b-884f-61362a19b5e8,Gabriela Sales,1938-02-05,370.555.330-67,85337-922,Carvalho Verde,AM,Brasil,M,61 4105-2165,37055533067@example.com.br,2025-11-02
93c07911-8fbd-4664-94e3-f719aa8c53e8,Matheus Pacheco,1927-08-10,870.792.858-40,05329244,Cassiano,AC,Brasil,M,61 2767-6917,87079285840@example.com.br,2025-05-05
e4c2e37c-670a-412f-bc82-37713570cda7,Dr. Joaquim Abreu,1926-04-05,484.498.631-58,12857-245,Camargo,RN,Brasil,M,(081) 9611 0355,48449863158@example.com.br,2025-01-31
